Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
23-06-2022,2,18000,1000,2 out of 4,Super Area,Gottigere,Bangalore,Semi-Furnished,Family,2,Contact Owner
27-05-2022,2,23000,1300,3 out of 4,Super Area,Bangalore,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
28-04-2022,2,20000,1150,2 out of 4,Carpet Area,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
04-07-2022,1,10000,450,3 out of 4,Carpet Area,"Malleshpalya, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-07-2022,1,15000,600,5 out of 5,Carpet Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
04-06-2022,2,17000,1000,3 out of 4,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,3,56000,1900,6 out of 16,Carpet Area,Jaya Nagar Block 3,Bangalore,Unfurnished,Bachelors,3,Contact Agent
06-07-2022,3,43000,1700,3 out of 4,Carpet Area,"Arakere Mico Layout, Arakere",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
09-06-2022,2,25000,1100,2 out of 5,Carpet Area,Seshadripuram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
14-05-2022,1,9000,500,1 out of 3,Carpet Area,Mudhaliar layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
07-07-2022,3,31000,1757,9 out of 10,Super Area,"Jalahalli, Jalahalli, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
19-06-2022,1,6000,300,Ground out of 2,Super Area,Ullal Upnagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
12-06-2022,1,5000,500,2 out of 3,Super Area,Guttahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
11-05-2022,2,16000,1200,Ground out of 1,Super Area,"Dr.Shivaram Karanth Nagar, Jakkuru",Bangalore,Unfurnished,Bachelors,2,Contact Owner
06-07-2022,1,20000,800,Ground out of 5,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Family,1,Contact Agent
10-05-2022,3,28000,1281,2 out of 4,Super Area,Banaswadi,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
23-05-2022,2,18000,1450,Ground out of 2,Carpet Area,"Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
16-06-2022,1,12000,600,3 out of 3,Super Area,Basava Nagar,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
04-06-2022,2,20000,980,3 out of 4,Super Area,Mathikere,Bangalore,Furnished,Family,2,Contact Owner
23-05-2022,3,25000,1500,1 out of 7,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
06-07-2022,3,35000,1800,1 out of 1,Super Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
06-07-2022,1,7000,400,1 out of 2,Super Area,C V Raman Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
22-06-2022,1,7500,600,Ground out of 2,Carpet Area,"Banashankari Stage 3, Banashankari",Bangalore,Unfurnished,Bachelors,1,Contact Owner
25-05-2022,2,14000,1100,Ground out of 2,Carpet Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
31-05-2022,2,20000,1100,1 out of 5,Carpet Area,"Yelachenahalli, Kumaraswamy Layout, Kanakapura Road",Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
29-06-2022,4,380000,3500,2 out of 4,Carpet Area,Lavelle Road,Bangalore,Semi-Furnished,Bachelors,5,Contact Agent
12-06-2022,2,21000,1100,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
27-05-2022,2,15000,700,1 out of 2,Super Area,Yeshwantpur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
28-06-2022,1,5500,600,1 out of 2,Carpet Area,Hesaraghatta Main Road,Bangalore,Unfurnished,Bachelors,1,Contact Owner
23-05-2022,2,10000,700,1 out of 3,Super Area,Nri Layout,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
07-07-2022,1,7000,250,1 out of 4,Super Area,"Konappana Agrahara, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
24-05-2022,2,11500,1200,2 out of 3,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
30-04-2022,3,22000,1450,Ground out of 4,Super Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
30-06-2022,2,19000,1221,2 out of 5,Carpet Area,"Hosa Road, off Hosur Road",Bangalore,Unfurnished,Bachelors,2,Contact Owner
30-04-2022,2,15000,1250,1 out of 4,Super Area,"Dinnur, Hebbal",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
01-05-2022,2,10500,700,Ground out of 2,Carpet Area,"Chikkasandra-Jalahalli West, Jalahalli West",Bangalore,Semi-Furnished,Family,1,Contact Owner
19-05-2022,2,12000,700,1 out of 2,Carpet Area,"Doddanekundi, Kartik Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-06-2022,1,7000,200,2 out of 3,Super Area,"Jp Nagar Phase 2, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,2,15000,1200,Ground out of 1,Carpet Area,Attibele,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,2,23000,600,3 out of 5,Super Area,"Devinagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,1,6500,600,3 out of 5,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
08-07-2022,3,29000,1800,3 out of 4,Carpet Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
09-05-2022,2,12000,900,Ground out of 2,Carpet Area,"Fci Layout, Deepanjali Nagar",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
17-05-2022,2,10000,1000,2 out of 2,Super Area,Mathikere,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
28-05-2022,2,12500,500,1 out of 2,Carpet Area,"Ombr Layout, Banaswadi",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
14-05-2022,3,32000,1800,1 out of 4,Super Area,"Sinthan Nagar, Thanisandra",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
14-05-2022,1,8000,416,19 out of 20,Super Area,Kengeri Hobli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
25-05-2022,2,10500,600,3 out of 5,Super Area,Kodichikkanahalli Main Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,1,6000,400,1 out of 3,Super Area,"Mangammanapalya, Hosur Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
06-06-2022,3,16000,1200,2 out of 3,Super Area,Uttarahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-06-2022,3,45000,1600,1 out of 4,Carpet Area,Malleshwaram,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
16-06-2022,1,6000,500,Ground out of 2,Super Area,"Immadihalli, Whitefield",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,1,5000,500,1 out of 4,Super Area,"Bydara Halli, Benson Town",Bangalore,Semi-Furnished,Family,1,Contact Owner
01-05-2022,3,14000,1800,5 out of 7,Super Area,Yelahanka,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
04-06-2022,2,20000,900,Ground out of 12,Carpet Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
16-06-2022,1,11000,550,3 out of 4,Carpet Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
27-05-2022,1,5500,600,1 out of 2,Super Area,"Chikkana Layout, Kammanahalli",Bangalore,Unfurnished,Bachelors,1,Contact Owner
27-05-2022,3,55000,1800,1 out of 4,Carpet Area,"Langford Town, Shanti Nagar, Hosur Road",Bangalore,Unfurnished,Bachelors,3,Contact Agent
23-05-2022,2,15000,976,1 out of 3,Super Area,"Jaya Nagar Block 5, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
31-05-2022,1,8500,350,2 out of 3,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
02-07-2022,2,15000,1100,Ground out of 2,Carpet Area,Vidyaranyapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,2,12000,500,2 out of 3,Super Area,"Guddadahalli, Mysore Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
22-05-2022,1,7500,600,3 out of 3,Carpet Area,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
16-06-2022,2,16000,1100,2 out of 4,Super Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
16-06-2022,2,20000,1150,2 out of 4,Carpet Area,"Hennur, Hennur Bagalur Road",Bangalore,Furnished,Family,2,Contact Agent
16-06-2022,2,14500,850,Ground out of 3,Super Area,Basava Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
24-05-2022,1,6000,600,2 out of 2,Super Area,Meenakshi Layout Hosa Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
02-06-2022,2,14000,900,4 out of 5,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
20-06-2022,1,7000,300,Ground out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
22-06-2022,2,27500,1130,2 out of 4,Super Area,Old Airport Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,2,18000,1200,Ground out of 3,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
23-06-2022,2,10000,1000,1 out of 3,Super Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
05-05-2022,3,31000,1700,6 out of 9,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Furnished,Family,3,Contact Owner
17-06-2022,2,15000,1100,2 out of 4,Carpet Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
23-05-2022,1,11000,300,Ground out of 4,Super Area,Btm Layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-06-2022,1,4500,600,Ground out of 3,Super Area,"Peenya Industrial Area, Tumkur Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
20-06-2022,1,10000,1000,Ground out of 2,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,2,10000,1200,1 out of 2,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
27-05-2022,1,9000,500,Ground out of 3,Super Area,Nandini Layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
10-05-2022,2,16000,1050,1 out of 3,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,1,5000,350,2 out of 2,Carpet Area,"Chamundi Nagar, Rajajinagar",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
30-06-2022,2,10000,1000,1 out of 3,Super Area,"Ilyas Nagar, Kumaraswamy Layout",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-07-2022,1,15000,600,3 out of 5,Carpet Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
19-05-2022,1,3500,150,2 out of 3,Super Area,Yeshwantpur,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
19-05-2022,2,16000,1400,1 out of 2,Super Area,Hebbal,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,2,17000,1387,Ground out of 4,Super Area,"Nobo Nagar, Kalena Agrahara",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
19-05-2022,3,30000,1350,Ground out of 5,Super Area,K R Puram,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
03-06-2022,2,12000,1020,1 out of 4,Carpet Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
30-05-2022,1,9000,600,2 out of 4,Carpet Area,Byrathi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-06-2022,1,6000,400,3 out of 4,Super Area,Doddanagamangala,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
06-07-2022,1,20000,550,2 out of 5,Carpet Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
12-05-2022,3,30000,1400,2 out of 4,Carpet Area,"Btm Layout Stage 2, BTM Layout",Bangalore,Furnished,Bachelors/Family,2,Contact Owner
30-06-2022,2,20000,1050,5 out of 5,Carpet Area,"Hoodi Circle, Hoodi",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
04-07-2022,2,15000,800,1 out of 5,Super Area,whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
04-06-2022,2,20000,1100,1 out of 3,Super Area,Kodi Halli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
04-06-2022,3,25000,1500,Ground out of 3,Super Area,Kammanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-06-2022,1,9000,800,2 out of 3,Carpet Area,Yelechenahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
08-07-2022,2,17000,800,Ground out of 4,Carpet Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
04-07-2022,2,16500,1200,2 out of 3,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,1,7000,450,2 out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
14-05-2022,3,30000,1425,Ground out of 5,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
05-05-2022,2,8500,720,1 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
05-05-2022,1,8000,700,2 out of 3,Carpet Area,Kadugodi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
11-05-2022,2,20000,1100,2 out of 3,Super Area,Jayanagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,3,30000,1645,6 out of 12,Carpet Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
24-05-2022,3,120000,3276,3 out of 4,Super Area,"Cleveland Town, Frazer Town",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
04-06-2022,1,7000,500,2 out of 3,Super Area,Kengeri Satellite Town,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
12-06-2022,2,10000,600,4 out of 5,Super Area,Akshayanagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
10-05-2022,1,5000,600,1 out of 3,Super Area,HMT Layout Nagasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
20-06-2022,3,30000,1893,Ground out of 18,Super Area,Begur Road,Bangalore,Semi-Furnished,Bachelors,4,Contact Agent
20-06-2022,1,6500,450,1 out of 4,Super Area,Nimbekaipura,Bangalore,Unfurnished,Bachelors,1,Contact Owner
20-06-2022,1,10000,650,4 out of 4,Carpet Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
20-06-2022,1,18000,400,Ground out of 3,Carpet Area,indiranagar near bda complex,Bangalore,Unfurnished,Bachelors,1,Contact Agent
06-07-2022,2,30000,1296,9 out of 22,Carpet Area,Kanakapura Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
30-06-2022,2,20000,1000,4 out of 5,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
09-07-2022,1,16500,600,4 out of 5,Carpet Area,"Kr Garden-Murugeshpalya, Murugeshpalya, Airport Road",Bangalore,Unfurnished,Bachelors,1,Contact Agent
06-06-2022,1,15000,600,3 out of 3,Super Area,J P Nagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
02-07-2022,4,130000,4800,11 out of 19,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,4,Contact Agent
24-05-2022,2,15000,1000,Ground out of 2,Super Area,"Srinagar, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
12-06-2022,1,70000,800,1 out of 3,Carpet Area,Nagarabhavi BDA complex,Bangalore,Unfurnished,Bachelors,1,Contact Owner
04-06-2022,1,22000,455,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
22-06-2022,2,9750,575,Ground out of 2,Carpet Area,Varanasi,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
29-04-2022,2,23000,1066,3 out of 4,Super Area,Manayata Tech Park,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
10-05-2022,2,12000,850,3 out of 4,Super Area,Munnekollal,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
06-07-2022,3,60000,1550,2 out of 5,Carpet Area,"Bhel Township- Malleshwaram, Malleshwaram",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
05-05-2022,2,11000,1000,2 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
05-05-2022,2,12000,800,1 out of 3,Super Area,"Srinagar, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-06-2022,1,11000,450,1 out of 4,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
01-06-2022,2,19000,1350,1 out of 2,Carpet Area,"Coffee Board Layout, Nagavara",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
14-06-2022,2,10000,1350,1 out of 1,Super Area,Rampura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,1,7500,600,3 out of 4,Super Area,"Mallathahalli, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
07-07-2022,3,55000,2150,3 out of 6,Super Area,Basavanagudi,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
27-06-2022,2,11000,1080,3 out of 5,Super Area,Hosakerehalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-06-2022,3,50000,1450,3 out of 4,Super Area,Old Airport Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
23-05-2022,2,13500,700,2 out of 3,Super Area,Anantapura,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
03-06-2022,2,16500,1200,2 out of 4,Super Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
01-07-2022,3,120000,2110,3 out of 4,Carpet Area,"Richmond Town, Richmond Town",Bangalore,Unfurnished,Bachelors,3,Contact Agent
04-07-2022,1,7000,500,2 out of 4,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-07-2022,2,10000,850,2 out of 3,Super Area,"Jyothi Nagar, Dooravani Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
10-05-2022,1,7000,400,2 out of 3,Super Area,"Bikasipura, kanakapura Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
04-06-2022,1,18000,800,Ground out of 2,Super Area,Gottigere,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
08-06-2022,1,11000,600,2 out of 4,Super Area,Kudlu,Bangalore,Semi-Furnished,Family,1,Contact Owner
27-05-2022,1,9000,450,2 out of 3,Super Area,Nandini Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
06-07-2022,3,60000,2080,2 out of 5,Carpet Area,Frazer Town,Bangalore,Semi-Furnished,Family,3,Contact Owner
08-06-2022,3,3500000,2500,4 out of 4,Carpet Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
10-05-2022,2,12500,650,3 out of 4,Super Area,Banashankari,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-06-2022,2,16000,1100,2 out of 4,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
16-06-2022,2,30000,1025,2 out of 4,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
06-06-2022,2,17000,1100,1 out of 4,Carpet Area,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
19-05-2022,1,8000,350,2 out of 3,Super Area,Banaswadi,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
05-07-2022,2,16500,1050,Ground out of 2,Super Area,Vidyaranyapura,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
27-06-2022,2,13000,600,2 out of 3,Super Area,"Banashankari Stage 3, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
06-07-2022,2,12000,800,1 out of 1,Super Area,"Horamavu Agara, Hormavu",Bangalore,Semi-Furnished,Family,2,Contact Owner
19-05-2022,2,17000,700,2 out of 5,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,3,15000,750,1 out of 2,Super Area,"Hmt Layout Block 4, Vidyaranyapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
18-06-2022,3,35000,1600,20 out of 25,Super Area,Hennur Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
10-05-2022,2,13000,1180,1 out of 3,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Family,2,Contact Owner
29-04-2022,2,12000,1400,2 out of 4,Super Area,Kothanur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
29-04-2022,1,10000,750,2 out of 5,Super Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-06-2022,2,9000,580,Ground out of 3,Carpet Area,Visthar,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
04-06-2022,1,6000,350,Ground out of 1,Super Area,K R Puram,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
11-05-2022,2,8900,1100,1 out of 2,Super Area,Sarjapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
30-06-2022,3,40000,1900,3 out of 6,Carpet Area,Basavanagudi,Bangalore,Unfurnished,Bachelors,3,Contact Agent
23-06-2022,2,24000,1105,1 out of 4,Carpet Area,"Syndicate Bank Colony, Arakere",Bangalore,Furnished,Bachelors/Family,2,Contact Agent
05-07-2022,2,18500,1080,3 out of 12,Carpet Area,"Jalahalli, Jalahalli, Outer Ring Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner
13-06-2022,2,16000,1281,1 out of 5,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,1,8000,600,Ground out of 3,Super Area,Uttarahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-07-2022,2,15000,850,Ground out of 3,Super Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-07-2022,2,27000,1200,2 out of 5,Super Area,"Hennur, Hennur Bagalur Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-07-2022,2,17000,900,4 out of 5,Super Area,Bhuvaneswari Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
06-07-2022,3,50000,1250,3 out of 5,Carpet Area,"Bhel Township- Malleshwaram, Malleshwaram",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
22-06-2022,2,14000,800,3 out of 3,Carpet Area,"Ews Colony, BTM Layout",Bangalore,Unfurnished,Bachelors,2,Contact Owner
14-05-2022,1,5000,500,Ground out of 3,Super Area,Peenya 2nd Stage,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
28-04-2022,2,8000,600,2 out of 3,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,3,20000,904,1 out of 5,Super Area,Gottigere Main Rd,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
27-06-2022,2,15000,750,1 out of 4,Super Area,"Banashankari Stage 2, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
07-07-2022,3,20000,1252,3 out of 5,Carpet Area,Kogilu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-05-2022,2,11000,1200,1 out of 2,Super Area,"Bhel Layout, Rajarajeshwari Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
14-05-2022,2,8500,440,2 out of 4,Super Area,Kamala Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,3,22500,1600,2 out of 4,Carpet Area,"Bohra Layout, Gottigere, bannerghatta main Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
04-06-2022,2,15000,1200,3 out of 4,Super Area,Kodigenahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
18-05-2022,2,11000,950,2 out of 3,Carpet Area,Begur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-06-2022,2,11000,800,Ground out of 4,Super Area,Battarahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
24-05-2022,2,9000,1000,1 out of 3,Carpet Area,Budigere Cross,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
09-07-2022,3,120000,2770,3 out of 22,Super Area,"Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
04-06-2022,2,15000,800,Ground out of 4,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
20-06-2022,1,7000,400,Ground out of 2,Super Area,Mathikere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,1,5000,144,Ground out of 1,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,1,18000,600,2 out of 4,Super Area,"Itpl, Whitefield",Bangalore,Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,3,45000,2200,2 out of 4,Carpet Area,"Hsr Layout Sector 6, HSR Layout",Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
07-07-2022,2,21000,1005,2 out of 5,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
20-06-2022,2,10000,1200,Ground out of 1,Super Area,Ramamurthy Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
19-05-2022,2,15000,1180,Ground out of 5,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Family,2,Contact Owner
19-05-2022,2,11000,900,2 out of 3,Super Area,T Dasarahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
30-06-2022,1,7500,500,1 out of 2,Carpet Area,Hosa Road Junction,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
